iter	Passed	Remaining
0	31	31957
1	62	31005
2	89	29739
3	114	28492
4	136	27154
5	158	26185
6	179	25460
7	200	24810
8	224	24710
9	246	24424
10	269	24243
11	293	24135
12	317	24120
13	340	23947
14	363	23867
15	386	23764
16	412	23847
17	436	23799
18	459	23730
19	483	23705
20	505	23576
21	529	23532
22	554	23559
23	579	23558
24	603	23517
25	628	23543
26	650	23457
27	674	23402
28	696	23319
29	717	23215
30	741	23171
31	763	23096
32	788	23112
33	815	23181
34	840	23166
35	864	23137
36	897	23358
37	924	23402
38	950	23416
39	976	23425
40	998	23356
41	1018	23242
42	1039	23145
43	1061	23062
44	1085	23030
45	1106	22952
46	1128	22876
47	1151	22838
48	1172	22756
49	1194	22693
50	1215	22613
51	1239	22589
52	1260	22526
53	1283	22484
54	1307	22466
55	1330	22425
56	1353	22394
57	1376	22356
58	1414	22553
59	1437	22518
60	1459	22466
61	1480	22392
62	1501	22334
63	1522	22272
64	1544	22220
65	1567	22183
66	1589	22133
67	1610	22076
68	1632	22026
69	1654	21986
70	1679	21971
71	1702	21946
72	1726	21924
73	1749	21897
74	1772	21866
75	1794	21818
76	1815	21764
77	1837	21718
78	1863	21724
79	1885	21686
80	1908	21652
81	1930	21610
82	1952	21570
83	1973	21518
84	1996	21488
85	2019	21461
86	2041	21419
87	2076	21522
88	2097	21467
89	2127	21511
90	2150	21485
91	2172	21443
92	2194	21399
93	2216	21363
94	2237	21315
95	2246	21157
96	2271	21142
97	2291	21092
98	2312	21048
99	2333	21004
100	2356	20977
101	2378	20941
102	2401	20910
103	2422	20871
104	2444	20833
105	2468	20815
106	2492	20800
107	2517	20789
108	2541	20773
109	2564	20752
110	2586	20713
111	2606	20669
112	2627	20627
113	2650	20595
114	2672	20567
115	2693	20527
116	2715	20494
117	2736	20451
118	2756	20408
119	2779	20386
120	2802	20357
121	2825	20335
122	2847	20300
123	2868	20263
124	2889	20223
125	2909	20184
126	2929	20138
127	2951	20105
128	2973	20079
129	2995	20047
130	3017	20014
131	3038	19979
132	3060	19953
133	3082	19919
134	3103	19884
135	3124	19848
136	3149	19841
137	3173	19821
138	3196	19800
139	3220	19781
140	3243	19759
141	3265	19732
142	3288	19707
143	3309	19675
144	3331	19644
145	3353	19612
146	3374	19581
147	3394	19542
148	3415	19507
149	3435	19470
150	3458	19443
151	3482	19426
152	3501	19385
153	3522	19351
154	3544	19320
155	3563	19282
156	3585	19250
157	3608	19228
158	3629	19196
159	3649	19161
160	3671	19133
161	3692	19102
162	3713	19067
163	3735	19042
164	3757	19016
165	3779	18989
166	3802	18964
167	3824	18941
168	3847	18921
169	3871	18902
170	3894	18880
171	3916	18854
172	3937	18821
173	3957	18788
174	3981	18770
175	4002	18739
176	4024	18712
177	4045	18682
178	4066	18653
179	4087	18621
180	4109	18592
181	4128	18557
182	4150	18528
183	4170	18495
184	4190	18462
185	4211	18430
186	4233	18406
187	4255	18378
188	4276	18349
189	4299	18327
190	4320	18299
191	4342	18274
192	4364	18248
193	4386	18225
194	4407	18196
195	4429	18170
196	4450	18140
197	4472	18117
198	4501	18119
199	4523	18093
200	4547	18078
201	4568	18047
202	4590	18021
203	4611	17992
204	4632	17966
205	4654	17938
206	4675	17911
207	4698	17889
208	4719	17863
209	4740	17834
210	4761	17805
211	4782	17777
212	4805	17753
213	4826	17727
214	4847	17699
215	4870	17676
216	4890	17647
217	4911	17618
218	4932	17590
219	4952	17560
220	4973	17531
221	4994	17503
222	5017	17481
223	5038	17454
224	5061	17432
225	5081	17404
226	5102	17374
227	5123	17347
228	5143	17318
229	5167	17298
230	5190	17279
231	5214	17260
232	5236	17237
233	5258	17212
234	5278	17183
235	5298	17153
236	5322	17133
237	5343	17107
238	5365	17083
239	5388	17062
240	5409	17037
241	5431	17011
242	5451	16984
243	5473	16958
244	5497	16940
245	5518	16913
246	5538	16885
247	5560	16860
248	5580	16830
249	5601	16804
250	5622	16777
251	5643	16750
252	5663	16721
253	5683	16693
254	5704	16667
255	5724	16638
256	5745	16611
257	5766	16583
258	5787	16558
259	5810	16536
260	5831	16512
261	5852	16486
262	5874	16461
263	5895	16435
264	5918	16416
265	5943	16399
266	5967	16381
267	5989	16360
268	6013	16341
269	6035	16317
270	6055	16290
271	6077	16266
272	6097	16238
273	6119	16213
274	6140	16188
275	6160	16161
276	6180	16132
277	6202	16107
278	6222	16081
279	6242	16053
280	6266	16033
281	6287	16009
282	6308	15982
283	6330	15959
284	6350	15932
285	6371	15905
286	6393	15884
287	6415	15860
288	6437	15837
289	6458	15811
290	6478	15785
291	6500	15761
292	6523	15741
293	6545	15717
294	6567	15695
295	6591	15677
296	6615	15657
297	6638	15639
298	6662	15619
299	6685	15599
300	6707	15576
301	6731	15558
302	6752	15531
303	6773	15507
304	6793	15480
305	6814	15455
306	6836	15431
307	6858	15409
308	6884	15395
309	6905	15371
